YearRemodAdd,Kitchen,PID,MS SubClass,MS Zoning,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Heating,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Heating QC,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Fence,Bedroom,Full Bath,Half Bath,Gr Liv Area,Yr Sold,Mo Sold,Sale Type,Sale Condition,SalePrice,Misc Feature,Misc Val,Pool Area,Pool QC,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Bsmt Full Bath,Bsmt Half Bath,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built
1960,1,526301100,20,RL,Hip,CompShg,BrkFace,Plywood,Stone,112,TA,TA,CBlock,GasA,0,SBrkr,1656,0,0,Fa,TA,7,Typ,2,Gd,P,210,62,0,0,0,NA,3,1,0,1656,2010,5,WD ,Normal,215000,NA,0,0,NA,Attchd,1960,Fin,2,528,TA,TA,TA,Gd,Gd,BLQ,639,Unf,0,441,1080,1,0,141,31770,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Names,Norm,Normal,1Fam,1Story,6,5,1960
1954,1,526302030,20,RL,Hip,CompShg,Wd Sdng,Wd Sdng,Stone,28,TA,TA,CBlock,GasA,0,SBrkr,1293,0,0,Gd,TA,5,Typ,0,NA,Y,280,0,0,0,0,NA,2,2,0,1293,2006,5,WD ,Normal,149900,NA,0,0,NA,Attchd,1954,RFn,2,452,TA,TA,TA,TA,No,BLQ,468,Rec,539,171,1178,1,0,0,11027,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,6,5,1954
1956,1,526302040,20,RL,Hip,CompShg,VinylSd,VinylSd,BrkFace,244,TA,Gd,CBlock,GasA,0,SBrkr,1024,0,0,TA,Gd,5,Typ,2,TA,Y,0,0,0,0,280,NA,2,1,0,1024,2006,8,WD ,Normal,157500,NA,0,0,NA,Attchd,1956,Unf,1,313,TA,TA,TA,TA,No,Rec,773,Unf,0,235,1008,1,0,85,10533,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,6,6,1956
1956,1,526302110,20,RL,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,GasA,0,SBrkr,882,0,0,TA,TA,5,Typ,0,NA,Y,0,0,0,0,0,NA,2,1,0,882,2009,10,WD ,Normal,124500,NA,0,0,NA,Attchd,1956,Unf,1,502,TA,TA,Fa,Fa,No,Rec,564,Unf,0,318,882,0,0,74,13008,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,6,5,1956
1957,1,526302120,20,RL,Gable,CompShg,Wd Sdng,Wd Sdng,Stone,302,TA,TA,CBlock,GasA,0,SBrkr,1797,0,0,Fa,TA,7,Typ,1,TA,Y,0,0,0,0,0,NA,3,1,1,1797,2006,6,WD ,Normal,169000,NA,0,0,NA,Attchd,1957,Unf,3,963,TA,TA,TA,TA,Mn,Rec,1127,Unf,0,490,1617,0,0,0,11765,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Names,Norm,Normal,1Fam,1Story,5,5,1957
1957,1,526303060,20,RL,Gable,CompShg,Wd Sdng,Wd Sdng,Stone,902,TA,TA,CBlock,GasA,0,SBrkr,1390,0,0,Ex,Ex,4,Min1,2,Gd,Y,0,189,0,0,0,NA,1,1,1,1390,2006,10,WD ,Abnorml,252000,NA,0,0,NA,Attchd,1957,Unf,2,550,TA,TA,Gd,TA,Gd,ALQ,1110,Unf,0,595,1705,1,0,0,39384,Pave,NA,IR1,Low,AllPub,CulDSac,Sev,Names,Norm,Normal,1Fam,1Story,6,6,1957
1961,1,526350040,20,RH,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,GasA,0,SBrkr,896,0,0,TA,TA,5,Typ,0,NA,Y,140,0,0,0,120,MnPrv,2,1,0,896,2010,6,WD ,Normal,105000,NA,0,0,NA,Attchd,1961,Unf,1,730,TA,TA,TA,TA,No,Rec,468,LwQ,144,270,882,0,0,80,11622,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Feedr,Normal,1Fam,1Story,5,6,1961
1958,1,526351010,20,RL,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,TA,TA,CBlock,GasA,0,SBrkr,1329,0,0,TA,Gd,6,Typ,0,NA,Y,393,36,0,0,0,NA,3,1,1,1329,2010,6,WD ,Normal,172000,Gar2,12500,0,NA,Attchd,1958,Unf,1,312,TA,TA,TA,TA,No,ALQ,923,Unf,0,406,1329,0,0,81,14267,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Names,Norm,Normal,1Fam,1Story,6,6,1958
2002,1,526351030,20,RL,Hip,CompShg,MetalSd,MetalSd,None,0,Ex,TA,CBlock,GasA,0,SBrkr,1414,0,0,Ex,TA,6,Min1,1,TA,Y,0,51,0,0,190,NA,3,1,0,1414,2008,5,WD ,Normal,176500,NA,0,0,NA,Attchd,1990,Unf,2,601,TA,TA,Gd,TA,No,ALQ,528,BLQ,411,245,1184,1,0,87,11029,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Names,Norm,Normal,1Fam,1Story,6,8,1958
1974,1,526351100,20,RL,Hip,CompShg,Plywood,Plywood,BrkFace,440,TA,TA,CBlock,GasA,0,SBrkr,1434,0,0,TA,TA,7,Typ,1,Gd,Y,80,21,0,0,0,NA,4,2,0,1434,2009,6,WD ,Normal,157000,NA,0,0,NA,Attchd,1974,RFn,2,528,TA,TA,TA,TA,No,LwQ,844,Unf,0,590,1434,1,0,85,10200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,6,5,1974
